==22912== NVPROF is profiling process 22912, command: ./cgout -b 1024 -p 1 -l 1 -n 1000
==22912== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22912== Profiling application: ./cgout -b 1024 -p 1 -l 1 -n 1000
==22912== Profiling result:
==22912== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                    special_fu_utilization                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization            Single-Precision Function Unit Utilization     Mid (4)     Mid (4)     Mid (4)
          1                             flop_count_dp           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special   Floating Point Operations(Single Precision Special)        2047        2047        2047
          1                             inst_executed                                 Instructions Executed    19538766    19538766    19538766
          1                               inst_issued                                   Instructions Issued    19540233    19540233    19540233
          1                          dram_utilization                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1                           tex_utilization                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                        shared_utilization                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                                inst_fp_32                               FP Instructions(Single)        2047        2047        2047
          1                                inst_fp_64                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                  Integer Instructions    15292817    15292817    15292817
          1                          inst_bit_convert                              Bit-Convert Instructions        4094        4094        4094
          1                              inst_control                             Control-Flow Instructions      537332      537332      537332
          1                        inst_compute_ld_st                               Load/Store Instructions     2099152     2099152     2099152
          1                                 inst_misc                                     Misc Instructions     1595133     1595133     1595133
          1           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                           Issue Slots    18477873    18477873    18477873
          1                                 cf_issued                      Issued Control-Flow Instructions      541427      541427      541427
          1                               cf_executed                    Executed Control-Flow Instructions      541427      541427      541427
          1                               ldst_issued                        Issued Load/Store Instructions     2103248     2103248     2103248
          1                             ldst_executed                      Executed Load/Store Instructions     2103248     2103248     2103248
          1                       atomic_transactions                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       4.57%       4.57%       4.57%
          1                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)      13.49%      13.49%      13.49%
          1                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      69.96%      69.96%      69.96%
          1                             stall_texture                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                           Issue Stall Reasons (Other)       3.38%       3.38%       3.38%
          1          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.02%       0.02%       0.02%
          1                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       1.83%       1.83%       1.83%
          1                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.01%       0.01%       0.01%
          1                        stall_not_selected                    Issue Stall Reasons (Not Selected)       6.75%       6.75%       6.75%
          1                  sysmem_read_transactions                       System Memory Read Transactions        2000        2000        2000
          1                 sysmem_write_transactions                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                  L2 Read Transactions     2097175     2097175     2097175
          1                     l2_write_transactions                                 L2 Write Transactions        2054        2054        2054
          1                          ecc_transactions                                      ECC Transactions           0           0           0
          1                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                Unified Cache Hit Rate       0.00%       0.00%       0.00%
          1                      l2_tex_read_hit_rate                           L2 Hit Rate (Texture Reads)      98.41%      98.41%      98.41%
          1                     l2_tex_write_hit_rate                          L2 Hit Rate (Texture Writes)     100.00%     100.00%     100.00%
          1                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  84.468GB/s  84.468GB/s  84.467GB/s
          1                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  84.470MB/s  84.470MB/s  83.923MB/s
